Generations,Model,Quant,Runtime,Backend,Measurement status,Hardware evidence,Prefill tok/s,Decode tok/s,TTFT,Peak RAM,Battery drain,Load time,Device Name,Condition
10,Qwen2.5-0.5B-Instruct-Q4_K_M,Q4_K_M,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.63759213759214,2.52460503737599,65.125 s,798 MB,4,0.696 s,SM-A176B,SUSTAINED_LOAD
1,Qwen2.5-0.5B-Instruct-Q4_K_M,Q4_K_M,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.77409971861267,2.59088332928508,63.264 s,768 MB,1,2.718 s,SM-A176B,MEMORY_PRESSURE
1,Qwen2.5-0.5B-Instruct-Q4_K_M,Q4_K_M,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.54860378949905,2.1949002863659,66.398 s,110 MB,0,0.984 s,SM-A176B,BATTERY_SAVER
1,Qwen2.5-0.5B-Instruct-Q4_K_M,Q4_K_M,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.77085670052606,2.60644688346332,63.304 s,118 MB,0,0.723 s,SM-A176B,BACKGROUND
1,Qwen2.5-0.5B-Instruct-Q4_K_M,Q4_K_M,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.64087039370563,2.58397932816537,65.083 s,118 MB,0,1.622 s,SM-A176B,NORMAL_COLD
10,Qwen2.5-0.5B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,3.4820691388161,2.50901677904971,27.862 s,908 MB,3,0.836 s,SM-A176B,SUSTAINED_LOAD
1,Qwen2.5-0.5B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.62098723873061,2.52181965049156,65.362 s,129 MB,1,2.265 s,SM-A176B,BACKGROUND
1,Qwen2.5-0.5B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.62927479804406,2.19073047169165,65.244 s,113 MB,1,2.355 s,SM-A176B,BATTERY_SAVER
1,Qwen2.5-0.5B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.61484390519705,2.57317465422966,65.448 s,119 MB,0,2.217 s,SM-A176B,SUSTAINED_LOAD
1,Qwen2.5-0.5B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,4.53459513371837,2.70395876462884,86.229 s,116 MB,1,1.020 s,SM-A176B,NORMAL_COLD
1,SmolLM2-1.7B-Instruct-Q4_K_M,Q4_K_M,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,1.27995943387353,0.606479628349284,270.028 s,1332 MB,0,3.425 s,SM-A176B,NORMAL_COLD
1,SmolLM2-1.7B-Instruct-Q4_K_M,Q4_K_M,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,1.31855540249641,0.674377044205415,262.343 s,1776 MB,1,3.739 s,SM-A176B,BACKGROUND
1,SmolLM2-1.7B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,1.17040848377881,0.40499152049004,278.583 s,2074 MB,2,5.805 s,SM-A176B,MEMORY_PRESSURE
1,SmolLM2-1.7B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,1.15309659854924,0.388691506483253,282.600 s,2079 MB,1,6.255 s,SM-A176B,BATTERY_SAVER
1,SmolLM2-1.7B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,1.1123886174188,0.566652500354158,348.426 s,2676 MB,2,4.497 s,SM-A176B,NORMAL_COLD
10,SmolLM2-1.7B-Instruct-Q8_0,Q8_0,llama.cpp,GPU: Mali-G68,NATIVE,GPU: Mali-G68 Measurement status: NATIVE,1.20558033478927,0.413479429398387,270.842 s,2104 MB,19,6.096 s,SM-A176B,SUSTAINED_LOAD
1,Qwen2.5-0.5B-Instruct-ONNX-Q4,Q4,ONNX Runtime,ONNX Runtime NNAPI,EXPERIMENTAL_TOKENIZER_JSON,ONNX Runtime NNAPI Measurement status: EXPERIMENTAL_TOKENIZER_JSON,32.2983583154889,2.51750452364094,5.610 s,142 MB,0,7.674 s,SM-A176B,NORMAL_COLD
1,Qwen2.5-0.5B-Instruct-ONNX-Q8,Q8,ONNX Runtime,ONNX Runtime NNAPI,EXPERIMENTAL_TOKENIZER_JSON,ONNX Runtime NNAPI Measurement status: EXPERIMENTAL_TOKENIZER_JSON,39.2795138888889,1.5984015984016,4.630 s,125 MB,0,4.695 s,SM-A176B,NORMAL_COLD
